date,2024-02-16
2020-02-02,13
2020-02-09,9
2020-02-16,0
2020-02-23,33
2020-03-01,19
2020-03-08,19
2020-03-15,51
2020-03-22,46
2020-03-29,63
2020-04-05,33
2020-04-12,71
2020-04-19,36
2020-04-26,40
2020-05-03,39
2020-05-10,33
2020-05-17,64
2020-05-24,65
2020-05-31,58
2020-06-07,29
2020-06-14,31
2020-06-21,32
2020-06-28,25
2020-07-05,48
2020-07-12,57
2020-07-19,40
2020-07-26,49
2020-08-02,59
2020-08-09,17
2020-08-16,27
2020-08-23,19
2020-08-30,49
2020-09-06,38
2020-09-13,37
2020-09-20,10
2020-09-27,45
2020-10-04,14
2020-10-11,63
2020-10-18,25
2020-10-25,19
2020-11-01,53
2020-11-08,60
2020-11-15,30
2020-11-22,39
2020-11-29,61
2020-12-06,37
2020-12-13,0
2020-12-20,29
2020-12-27,34
2021-01-03,58
2021-01-10,29
2021-01-17,22
2021-01-24,56
2021-01-31,42
2021-02-07,16
2021-02-14,24
2021-02-21,42
2021-02-28,57
2021-03-07,27
2021-03-14,35
2021-03-21,18
2021-03-28,51
2021-04-04,38
2021-04-11,49
2021-04-18,28
2021-04-25,15
2021-05-02,11
2021-05-09,27
2021-05-16,36
2021-05-23,78
2021-05-30,100
2021-06-06,58
2021-06-13,20
2021-06-20,67
2021-06-27,34
2021-07-04,45
2021-07-11,65
2021-07-18,43
2021-07-25,77
2021-08-01,33
2021-08-08,57
2021-08-15,56
2021-08-22,61
2021-08-29,49
2021-09-05,63
2021-09-12,45
2021-09-19,36
2021-09-26,48
2021-10-03,28
2021-10-10,26
2021-10-17,26
2021-10-24,37
2021-10-31,16
2021-11-07,13
2021-11-14,24
2021-11-21,20
2021-11-28,43
2021-12-05,68
2021-12-12,19
2021-12-19,22
2021-12-26,26
2022-01-02,26
2022-01-09,38
2022-01-16,61
2022-01-23,44
2022-01-30,69
2022-02-06,62
2022-02-13,38
2022-02-20,22
2022-02-27,56
2022-03-06,61
2022-03-13,23
2022-03-20,33
2022-03-27,35
2022-04-03,33
2022-04-10,32
2022-04-17,27
2022-04-24,33
2022-05-01,13
2022-05-08,31
2022-05-15,42
2022-05-22,37
2022-05-29,67
2022-06-05,58
2022-06-12,33
2022-06-19,35
2022-06-26,55
2022-07-03,40
2022-07-10,37
2022-07-17,37
2022-07-24,45
2022-07-31,49
2022-08-07,39
2022-08-14,27
2022-08-21,28
2022-08-28,45
2022-09-04,39
2022-09-11,26
2022-09-18,23
2022-09-25,47
2022-10-02,49
2022-10-09,27
2022-10-16,21
2022-10-23,52
2022-10-30,35
2022-11-06,32
2022-11-13,41
2022-11-20,36
2022-11-27,53
2022-12-04,45
2022-12-11,31
2022-12-18,29
2022-12-25,30
2023-01-01,46
2023-01-08,25
2023-01-15,38
2023-01-22,49
2023-01-29,23
2023-02-05,27
2023-02-12,39
2023-02-19,27
2023-02-26,34
2023-03-05,62
2023-03-12,29
2023-03-19,37
2023-03-26,27
2023-04-02,6
2023-04-09,28
2023-04-16,22
2023-04-23,16
2023-04-30,31
2023-05-07,21
2023-05-14,15
2023-05-21,23
2023-05-28,53
2023-06-04,41
2023-06-11,17
2023-06-18,47
2023-06-25,30
2023-07-02,41
2023-07-09,34
2023-07-16,21
2023-07-23,40
2023-07-30,30
2023-08-06,36
2023-08-13,34
2023-08-20,16
2023-08-27,21
2023-09-03,32
2023-09-10,30
2023-09-17,21
2023-09-24,32
2023-10-01,25
2023-10-08,36
2023-10-15,43
2023-10-22,26
2023-10-29,0
2023-11-05,43
2023-11-12,32
2023-11-19,65
2023-11-26,20
2023-12-03,36
2023-12-10,78
2023-12-17,58
2023-12-24,0
2023-12-31,10
2024-01-07,29
2024-01-14,34
2024-01-21,35
2024-01-28,43
2024-02-04,23
