date,2024-02-16
2020-02-02,25
2020-02-09,25
2020-02-16,20
2020-02-23,21
2020-03-01,18
2020-03-08,20
2020-03-15,50
2020-03-22,53
2020-03-29,74
2020-04-05,83
2020-04-12,64
2020-04-19,56
2020-04-26,41
2020-05-03,39
2020-05-10,50
2020-05-17,52
2020-05-24,39
2020-05-31,37
2020-06-07,42
2020-06-14,37
2020-06-21,40
2020-06-28,43
2020-07-05,33
2020-07-12,41
2020-07-19,40
2020-07-26,43
2020-08-02,48
2020-08-09,32
2020-08-16,34
2020-08-23,31
2020-08-30,39
2020-09-06,31
2020-09-13,23
2020-09-20,25
2020-09-27,39
2020-10-04,39
2020-10-11,37
2020-10-18,45
2020-10-25,40
2020-11-01,36
2020-11-08,39
2020-11-15,36
2020-11-22,21
2020-11-29,27
2020-12-06,37
2020-12-13,41
2020-12-20,29
2020-12-27,39
2021-01-03,37
2021-01-10,50
2021-01-17,49
2021-01-24,43
2021-01-31,49
2021-02-07,42
2021-02-14,40
2021-02-21,82
2021-02-28,54
2021-03-07,40
2021-03-14,25
2021-03-21,18
2021-03-28,30
2021-04-04,32
2021-04-11,36
2021-04-18,25
2021-04-25,24
2021-05-02,37
2021-05-09,26
2021-05-16,36
2021-05-23,100
2021-05-30,62
2021-06-06,59
2021-06-13,51
2021-06-20,38
2021-06-27,49
2021-07-04,46
2021-07-11,48
2021-07-18,45
2021-07-25,46
2021-08-01,46
2021-08-08,58
2021-08-15,70
2021-08-22,50
2021-08-29,48
2021-09-05,59
2021-09-12,37
2021-09-19,39
2021-09-26,48
2021-10-03,47
2021-10-10,34
2021-10-17,34
2021-10-24,44
2021-10-31,39
2021-11-07,31
2021-11-14,40
2021-11-21,28
2021-11-28,52
2021-12-05,35
2021-12-12,32
2021-12-19,30
2021-12-26,32
2022-01-02,49
2022-01-09,37
2022-01-16,31
2022-01-23,37
2022-01-30,46
2022-02-06,35
2022-02-13,37
2022-02-20,31
2022-02-27,34
2022-03-06,40
2022-03-13,27
2022-03-20,29
2022-03-27,29
2022-04-03,31
2022-04-10,31
2022-04-17,29
2022-04-24,37
2022-05-01,39
2022-05-08,34
2022-05-15,29
2022-05-22,31
2022-05-29,44
2022-06-05,55
2022-06-12,41
2022-06-19,38
2022-06-26,50
2022-07-03,47
2022-07-10,44
2022-07-17,48
2022-07-24,40
2022-07-31,41
2022-08-07,37
2022-08-14,44
2022-08-21,39
2022-08-28,55
2022-09-04,43
2022-09-11,37
2022-09-18,31
2022-09-25,34
2022-10-02,37
2022-10-09,32
2022-10-16,37
2022-10-23,34
2022-10-30,32
2022-11-06,35
2022-11-13,34
2022-11-20,25
2022-11-27,43
2022-12-04,41
2022-12-11,32
2022-12-18,29
2022-12-25,30
2023-01-01,38
2023-01-08,34
2023-01-15,41
2023-01-22,41
2023-01-29,35
2023-02-05,43
2023-02-12,35
2023-02-19,31
2023-02-26,41
2023-03-05,36
2023-03-12,24
2023-03-19,34
2023-03-26,30
2023-04-02,24
2023-04-09,27
2023-04-16,35
2023-04-23,33
2023-04-30,35
2023-05-07,39
2023-05-14,36
2023-05-21,31
2023-05-28,49
2023-06-04,38
2023-06-11,22
2023-06-18,45
2023-06-25,28
2023-07-02,30
2023-07-09,44
2023-07-16,37
2023-07-23,37
2023-07-30,41
2023-08-06,37
2023-08-13,37
2023-08-20,39
2023-08-27,33
2023-09-03,36
2023-09-10,31
2023-09-17,34
2023-09-24,43
2023-10-01,33
2023-10-08,28
2023-10-15,28
2023-10-22,28
2023-10-29,29
2023-11-05,28
2023-11-12,34
2023-11-19,15
2023-11-26,33
2023-12-03,30
2023-12-10,23
2023-12-17,36
2023-12-24,23
2023-12-31,36
2024-01-07,31
2024-01-14,29
2024-01-21,40
2024-01-28,28
2024-02-04,28
