date,2024-02-16
2020-02-02,29
2020-02-09,23
2020-02-16,24
2020-02-23,27
2020-03-01,30
2020-03-08,26
2020-03-15,33
2020-03-22,65
2020-03-29,60
2020-04-05,89
2020-04-12,94
2020-04-19,77
2020-04-26,72
2020-05-03,83
2020-05-10,77
2020-05-17,63
2020-05-24,59
2020-05-31,47
2020-06-07,60
2020-06-14,46
2020-06-21,43
2020-06-28,44
2020-07-05,52
2020-07-12,37
2020-07-19,35
2020-07-26,43
2020-08-02,46
2020-08-09,55
2020-08-16,46
2020-08-23,39
2020-08-30,54
2020-09-06,45
2020-09-13,47
2020-09-20,41
2020-09-27,54
2020-10-04,63
2020-10-11,62
2020-10-18,41
2020-10-25,52
2020-11-01,31
2020-11-08,37
2020-11-15,42
2020-11-22,38
2020-11-29,53
2020-12-06,45
2020-12-13,58
2020-12-20,48
2020-12-27,33
2021-01-03,55
2021-01-10,34
2021-01-17,56
2021-01-24,52
2021-01-31,61
2021-02-07,61
2021-02-14,52
2021-02-21,37
2021-02-28,63
2021-03-07,38
2021-03-14,40
2021-03-21,45
2021-03-28,53
2021-04-04,53
2021-04-11,55
2021-04-18,41
2021-04-25,49
2021-05-02,55
2021-05-09,38
2021-05-16,35
2021-05-23,39
2021-05-30,44
2021-06-06,43
2021-06-13,39
2021-06-20,43
2021-06-27,53
2021-07-04,48
2021-07-11,75
2021-07-18,51
2021-07-25,46
2021-08-01,58
2021-08-08,65
2021-08-15,43
2021-08-22,71
2021-08-29,76
2021-09-05,82
2021-09-12,62
2021-09-19,57
2021-09-26,66
2021-10-03,80
2021-10-10,63
2021-10-17,75
2021-10-24,80
2021-10-31,86
2021-11-07,63
2021-11-14,73
2021-11-21,39
2021-11-28,60
2021-12-05,51
2021-12-12,46
2021-12-19,46
2021-12-26,40
2022-01-02,84
2022-01-09,62
2022-01-16,79
2022-01-23,72
2022-01-30,76
2022-02-06,68
2022-02-13,56
2022-02-20,74
2022-02-27,81
2022-03-06,84
2022-03-13,62
2022-03-20,46
2022-03-27,53
2022-04-03,64
2022-04-10,55
2022-04-17,54
2022-04-24,56
2022-05-01,64
2022-05-08,51
2022-05-15,70
2022-05-22,76
2022-05-29,56
2022-06-05,65
2022-06-12,81
2022-06-19,58
2022-06-26,65
2022-07-03,60
2022-07-10,77
2022-07-17,94
2022-07-24,61
2022-07-31,73
2022-08-07,80
2022-08-14,75
2022-08-21,78
2022-08-28,68
2022-09-04,81
2022-09-11,76
2022-09-18,84
2022-09-25,82
2022-10-02,100
2022-10-09,71
2022-10-16,74
2022-10-23,72
2022-10-30,85
2022-11-06,85
2022-11-13,79
2022-11-20,63
2022-11-27,71
2022-12-04,69
2022-12-11,66
2022-12-18,64
2022-12-25,55
2023-01-01,76
2023-01-08,77
2023-01-15,66
2023-01-22,77
2023-01-29,95
2023-02-05,68
2023-02-12,65
2023-02-19,66
2023-02-26,94
2023-03-05,68
2023-03-12,60
2023-03-19,65
2023-03-26,58
2023-04-02,63
2023-04-09,69
2023-04-16,59
2023-04-23,71
2023-04-30,53
2023-05-07,66
2023-05-14,62
2023-05-21,62
2023-05-28,65
2023-06-04,73
2023-06-11,45
2023-06-18,60
2023-06-25,57
2023-07-02,64
2023-07-09,66
2023-07-16,83
2023-07-23,64
2023-07-30,63
2023-08-06,68
2023-08-13,74
2023-08-20,75
2023-08-27,90
2023-09-03,85
2023-09-10,82
2023-09-17,76
2023-09-24,86
2023-10-01,97
2023-10-08,91
2023-10-15,77
2023-10-22,82
2023-10-29,90
2023-11-05,90
2023-11-12,81
2023-11-19,49
2023-11-26,67
2023-12-03,72
2023-12-10,57
2023-12-17,68
2023-12-24,45
2023-12-31,58
2024-01-07,80
2024-01-14,67
2024-01-21,74
2024-01-28,92
2024-02-04,58
