date,2024-02-16
2020-02-02,50
2020-02-09,27
2020-02-16,31
2020-02-23,29
2020-03-01,29
2020-03-08,29
2020-03-15,31
2020-03-22,36
2020-03-29,65
2020-04-05,60
2020-04-12,76
2020-04-19,50
2020-04-26,71
2020-05-03,42
2020-05-10,66
2020-05-17,52
2020-05-24,42
2020-05-31,48
2020-06-07,49
2020-06-14,41
2020-06-21,44
2020-06-28,44
2020-07-05,55
2020-07-12,46
2020-07-19,40
2020-07-26,52
2020-08-02,52
2020-08-09,49
2020-08-16,39
2020-08-23,38
2020-08-30,46
2020-09-06,39
2020-09-13,41
2020-09-20,40
2020-09-27,42
2020-10-04,51
2020-10-11,44
2020-10-18,41
2020-10-25,29
2020-11-01,33
2020-11-08,35
2020-11-15,39
2020-11-22,35
2020-11-29,55
2020-12-06,36
2020-12-13,43
2020-12-20,32
2020-12-27,30
2021-01-03,56
2021-01-10,28
2021-01-17,40
2021-01-24,45
2021-01-31,55
2021-02-07,46
2021-02-14,38
2021-02-21,34
2021-02-28,43
2021-03-07,42
2021-03-14,45
2021-03-21,34
2021-03-28,43
2021-04-04,44
2021-04-11,44
2021-04-18,23
2021-04-25,33
2021-05-02,41
2021-05-09,46
2021-05-16,55
2021-05-23,41
2021-05-30,39
2021-06-06,56
2021-06-13,43
2021-06-20,44
2021-06-27,42
2021-07-04,54
2021-07-11,53
2021-07-18,56
2021-07-25,44
2021-08-01,55
2021-08-08,53
2021-08-15,51
2021-08-22,53
2021-08-29,57
2021-09-05,70
2021-09-12,58
2021-09-19,66
2021-09-26,87
2021-10-03,71
2021-10-10,48
2021-10-17,65
2021-10-24,75
2021-10-31,60
2021-11-07,73
2021-11-14,67
2021-11-21,47
2021-11-28,69
2021-12-05,73
2021-12-12,48
2021-12-19,42
2021-12-26,42
2022-01-02,62
2022-01-09,78
2022-01-16,72
2022-01-23,48
2022-01-30,72
2022-02-06,60
2022-02-13,67
2022-02-20,59
2022-02-27,73
2022-03-06,54
2022-03-13,64
2022-03-20,70
2022-03-27,59
2022-04-03,58
2022-04-10,54
2022-04-17,57
2022-04-24,55
2022-05-01,52
2022-05-08,66
2022-05-15,59
2022-05-22,56
2022-05-29,68
2022-06-05,60
2022-06-12,68
2022-06-19,60
2022-06-26,60
2022-07-03,71
2022-07-10,70
2022-07-17,99
2022-07-24,60
2022-07-31,80
2022-08-07,73
2022-08-14,79
2022-08-21,78
2022-08-28,80
2022-09-04,74
2022-09-11,75
2022-09-18,89
2022-09-25,81
2022-10-02,84
2022-10-09,89
2022-10-16,94
2022-10-23,64
2022-10-30,79
2022-11-06,79
2022-11-13,84
2022-11-20,62
2022-11-27,69
2022-12-04,74
2022-12-11,54
2022-12-18,50
2022-12-25,50
2023-01-01,83
2023-01-08,84
2023-01-15,60
2023-01-22,79
2023-01-29,100
2023-02-05,77
2023-02-12,59
2023-02-19,75
2023-02-26,85
2023-03-05,72
2023-03-12,86
2023-03-19,68
2023-03-26,68
2023-04-02,73
2023-04-09,56
2023-04-16,60
2023-04-23,69
2023-04-30,70
2023-05-07,69
2023-05-14,56
2023-05-21,49
2023-05-28,72
2023-06-04,65
2023-06-11,55
2023-06-18,56
2023-06-25,74
2023-07-02,75
2023-07-09,78
2023-07-16,66
2023-07-23,82
2023-07-30,78
2023-08-06,75
2023-08-13,70
2023-08-20,63
2023-08-27,80
2023-09-03,79
2023-09-10,76
2023-09-17,80
2023-09-24,70
2023-10-01,83
2023-10-08,73
2023-10-15,62
2023-10-22,53
2023-10-29,87
2023-11-05,91
2023-11-12,69
2023-11-19,50
2023-11-26,59
2023-12-03,69
2023-12-10,61
2023-12-17,49
2023-12-24,44
2023-12-31,80
2024-01-07,95
2024-01-14,73
2024-01-21,75
2024-01-28,76
2024-02-04,66
