date,2024-02-16
2020-02-02,15
2020-02-09,0
2020-02-16,50
2020-02-23,17
2020-03-01,0
2020-03-08,0
2020-03-15,74
2020-03-22,100
2020-03-29,76
2020-04-05,65
2020-04-12,74
2020-04-19,76
2020-04-26,35
2020-05-03,55
2020-05-10,0
2020-05-17,46
2020-05-24,0
2020-05-31,45
2020-06-07,84
2020-06-14,16
2020-06-21,50
2020-06-28,53
2020-07-05,0
2020-07-12,0
2020-07-19,29
2020-07-26,31
2020-08-02,0
2020-08-09,36
2020-08-16,34
2020-08-23,25
2020-08-30,0
2020-09-06,0
2020-09-13,34
2020-09-20,70
2020-09-27,35
2020-10-04,0
2020-10-11,20
2020-10-18,25
2020-10-25,0
2020-11-01,28
2020-11-08,50
2020-11-15,38
2020-11-22,31
2020-11-29,30
2020-12-06,33
2020-12-13,31
2020-12-20,38
2020-12-27,47
2021-01-03,41
2021-01-10,0
2021-01-17,0
2021-01-24,54
2021-01-31,23
2021-02-07,52
2021-02-14,0
2021-02-21,0
2021-02-28,38
2021-03-07,15
2021-03-14,0
2021-03-21,0
2021-03-28,26
2021-04-04,25
2021-04-11,0
2021-04-18,0
2021-04-25,22
2021-05-02,0
2021-05-09,16
2021-05-16,0
2021-05-23,0
2021-05-30,0
2021-06-06,0
2021-06-13,0
2021-06-20,33
2021-06-27,17
2021-07-04,0
2021-07-11,19
2021-07-18,0
2021-07-25,0
2021-08-01,21
2021-08-08,65
2021-08-15,54
2021-08-22,0
2021-08-29,19
2021-09-05,48
2021-09-12,0
2021-09-19,0
2021-09-26,29
2021-10-03,26
2021-10-10,0
2021-10-17,0
2021-10-24,37
2021-10-31,29
2021-11-07,0
2021-11-14,26
2021-11-21,0
2021-11-28,16
2021-12-05,0
2021-12-12,40
2021-12-19,25
2021-12-26,29
2022-01-02,0
2022-01-09,0
2022-01-16,22
2022-01-23,0
2022-01-30,27
2022-02-06,21
2022-02-13,22
2022-02-20,0
2022-02-27,28
2022-03-06,0
2022-03-13,0
2022-03-20,15
2022-03-27,0
2022-04-03,15
2022-04-10,29
2022-04-17,0
2022-04-24,0
2022-05-01,15
2022-05-08,16
2022-05-15,15
2022-05-22,0
2022-05-29,0
2022-06-05,23
2022-06-12,39
2022-06-19,33
2022-06-26,24
2022-07-03,25
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,18
2022-08-07,29
2022-08-14,20
2022-08-21,0
2022-08-28,30
2022-09-04,32
2022-09-11,0
2022-09-18,0
2022-09-25,17
2022-10-02,29
2022-10-09,39
2022-10-16,27
2022-10-23,39
2022-10-30,42
2022-11-06,22
2022-11-13,42
2022-11-20,27
2022-11-27,0
2022-12-04,15
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,21
2023-01-22,20
2023-01-29,40
2023-02-05,62
2023-02-12,14
2023-02-19,24
2023-02-26,41
2023-03-05,21
2023-03-12,26
2023-03-19,12
2023-03-26,29
2023-04-02,49
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,34
2023-05-07,0
2023-05-14,29
2023-05-21,36
2023-05-28,28
2023-06-04,21
2023-06-11,0
2023-06-18,20
2023-06-25,30
2023-07-02,39
2023-07-09,48
2023-07-16,28
2023-07-23,43
2023-07-30,0
2023-08-06,0
2023-08-13,37
2023-08-20,50
2023-08-27,23
2023-09-03,0
2023-09-10,43
2023-09-17,31
2023-09-24,25
2023-10-01,47
2023-10-08,51
2023-10-15,18
2023-10-22,73
2023-10-29,48
2023-11-05,53
2023-11-12,40
2023-11-19,0
2023-11-26,44
2023-12-03,0
2023-12-10,34
2023-12-17,0
2023-12-24,25
2023-12-31,33
2024-01-07,0
2024-01-14,49
2024-01-21,29
2024-01-28,28
2024-02-04,0
