date,2024-02-16
2020-02-02,5
2020-02-09,3
2020-02-16,6
2020-02-23,2
2020-03-01,4
2020-03-08,5
2020-03-15,0
2020-03-22,5
2020-03-29,10
2020-04-05,9
2020-04-12,12
2020-04-19,5
2020-04-26,19
2020-05-03,16
2020-05-10,40
2020-05-17,100
2020-05-24,57
2020-05-31,39
2020-06-07,47
2020-06-14,33
2020-06-21,24
2020-06-28,17
2020-07-05,21
2020-07-12,18
2020-07-19,13
2020-07-26,17
2020-08-02,16
2020-08-09,13
2020-08-16,19
2020-08-23,12
2020-08-30,13
2020-09-06,10
2020-09-13,6
2020-09-20,11
2020-09-27,11
2020-10-04,15
2020-10-11,11
2020-10-18,9
2020-10-25,12
2020-11-01,11
2020-11-08,12
2020-11-15,15
2020-11-22,14
2020-11-29,34
2020-12-06,24
2020-12-13,16
2020-12-20,14
2020-12-27,15
2021-01-03,15
2021-01-10,11
2021-01-17,11
2021-01-24,8
2021-01-31,10
2021-02-07,15
2021-02-14,11
2021-02-21,11
2021-02-28,18
2021-03-07,14
2021-03-14,9
2021-03-21,9
2021-03-28,19
2021-04-04,11
2021-04-11,6
2021-04-18,9
2021-04-25,11
2021-05-02,12
2021-05-09,10
2021-05-16,9
2021-05-23,15
2021-05-30,11
2021-06-06,12
2021-06-13,17
2021-06-20,12
2021-06-27,10
2021-07-04,23
2021-07-11,23
2021-07-18,13
2021-07-25,14
2021-08-01,18
2021-08-08,13
2021-08-15,12
2021-08-22,16
2021-08-29,22
2021-09-05,21
2021-09-12,19
2021-09-19,15
2021-09-26,14
2021-10-03,19
2021-10-10,16
2021-10-17,23
2021-10-24,26
2021-10-31,37
2021-11-07,24
2021-11-14,21
2021-11-21,17
2021-11-28,27
2021-12-05,21
2021-12-12,18
2021-12-19,20
2021-12-26,23
2022-01-02,18
2022-01-09,24
2022-01-16,32
2022-01-23,16
2022-01-30,21
2022-02-06,23
2022-02-13,16
2022-02-20,18
2022-02-27,20
2022-03-06,20
2022-03-13,15
2022-03-20,15
2022-03-27,17
2022-04-03,14
2022-04-10,15
2022-04-17,16
2022-04-24,12
2022-05-01,17
2022-05-08,12
2022-05-15,13
2022-05-22,10
2022-05-29,22
2022-06-05,21
2022-06-12,17
2022-06-19,20
2022-06-26,13
2022-07-03,23
2022-07-10,22
2022-07-17,20
2022-07-24,17
2022-07-31,19
2022-08-07,19
2022-08-14,19
2022-08-21,9
2022-08-28,19
2022-09-04,18
2022-09-11,19
2022-09-18,15
2022-09-25,17
2022-10-02,22
2022-10-09,19
2022-10-16,22
2022-10-23,22
2022-10-30,21
2022-11-06,30
2022-11-13,23
2022-11-20,21
2022-11-27,24
2022-12-04,33
2022-12-11,26
2022-12-18,42
2022-12-25,24
2023-01-01,28
2023-01-08,28
2023-01-15,26
2023-01-22,25
2023-01-29,31
2023-02-05,22
2023-02-12,20
2023-02-19,14
2023-02-26,17
2023-03-05,17
2023-03-12,14
2023-03-19,18
2023-03-26,20
2023-04-02,24
2023-04-09,20
2023-04-16,20
2023-04-23,16
2023-04-30,14
2023-05-07,17
2023-05-14,17
2023-05-21,7
2023-05-28,15
2023-06-04,25
2023-06-11,11
2023-06-18,16
2023-06-25,11
2023-07-02,22
2023-07-09,19
2023-07-16,20
2023-07-23,19
2023-07-30,28
2023-08-06,28
2023-08-13,27
2023-08-20,23
2023-08-27,20
2023-09-03,24
2023-09-10,17
2023-09-17,21
2023-09-24,18
2023-10-01,20
2023-10-08,19
2023-10-15,16
2023-10-22,14
2023-10-29,17
2023-11-05,18
2023-11-12,13
2023-11-19,11
2023-11-26,13
2023-12-03,15
2023-12-10,13
2023-12-17,10
2023-12-24,11
2023-12-31,15
2024-01-07,16
2024-01-14,11
2024-01-21,8
2024-01-28,11
2024-02-04,9
