date,2024-02-16
2020-02-02,12
2020-02-09,11
2020-02-16,11
2020-02-23,9
2020-03-01,11
2020-03-08,11
2020-03-15,11
2020-03-22,11
2020-03-29,17
2020-04-05,21
2020-04-12,23
2020-04-19,20
2020-04-26,30
2020-05-03,33
2020-05-10,52
2020-05-17,100
2020-05-24,75
2020-05-31,63
2020-06-07,60
2020-06-14,50
2020-06-21,41
2020-06-28,44
2020-07-05,41
2020-07-12,37
2020-07-19,31
2020-07-26,32
2020-08-02,31
2020-08-09,34
2020-08-16,23
2020-08-23,21
2020-08-30,22
2020-09-06,20
2020-09-13,21
2020-09-20,19
2020-09-27,19
2020-10-04,24
2020-10-11,28
2020-10-18,23
2020-10-25,20
2020-11-01,19
2020-11-08,30
2020-11-15,31
2020-11-22,26
2020-11-29,34
2020-12-06,36
2020-12-13,35
2020-12-20,30
2020-12-27,35
2021-01-03,31
2021-01-10,28
2021-01-17,22
2021-01-24,25
2021-01-31,29
2021-02-07,31
2021-02-14,28
2021-02-21,28
2021-02-28,28
2021-03-07,31
2021-03-14,27
2021-03-21,23
2021-03-28,33
2021-04-04,35
2021-04-11,29
2021-04-18,23
2021-04-25,23
2021-05-02,27
2021-05-09,32
2021-05-16,29
2021-05-23,39
2021-05-30,40
2021-06-06,39
2021-06-13,36
2021-06-20,29
2021-06-27,30
2021-07-04,43
2021-07-11,42
2021-07-18,36
2021-07-25,31
2021-08-01,36
2021-08-08,37
2021-08-15,38
2021-08-22,29
2021-08-29,39
2021-09-05,52
2021-09-12,38
2021-09-19,40
2021-09-26,46
2021-10-03,48
2021-10-10,50
2021-10-17,44
2021-10-24,50
2021-10-31,74
2021-11-07,65
2021-11-14,63
2021-11-21,46
2021-11-28,53
2021-12-05,57
2021-12-12,55
2021-12-19,43
2021-12-26,37
2022-01-02,50
2022-01-09,54
2022-01-16,53
2022-01-23,39
2022-01-30,48
2022-02-06,46
2022-02-13,41
2022-02-20,42
2022-02-27,45
2022-03-06,42
2022-03-13,39
2022-03-20,33
2022-03-27,33
2022-04-03,36
2022-04-10,36
2022-04-17,32
2022-04-24,29
2022-05-01,35
2022-05-08,35
2022-05-15,38
2022-05-22,30
2022-05-29,38
2022-06-05,35
2022-06-12,36
2022-06-19,38
2022-06-26,34
2022-07-03,40
2022-07-10,40
2022-07-17,49
2022-07-24,38
2022-07-31,40
2022-08-07,40
2022-08-14,41
2022-08-21,40
2022-08-28,35
2022-09-04,41
2022-09-11,39
2022-09-18,38
2022-09-25,38
2022-10-02,46
2022-10-09,40
2022-10-16,40
2022-10-23,36
2022-10-30,42
2022-11-06,50
2022-11-13,48
2022-11-20,46
2022-11-27,45
2022-12-04,47
2022-12-11,50
2022-12-18,67
2022-12-25,50
2023-01-01,57
2023-01-08,62
2023-01-15,66
2023-01-22,57
2023-01-29,58
2023-02-05,51
2023-02-12,47
2023-02-19,48
2023-02-26,45
2023-03-05,49
2023-03-12,43
2023-03-19,40
2023-03-26,42
2023-04-02,44
2023-04-09,42
2023-04-16,36
2023-04-23,32
2023-04-30,43
2023-05-07,35
2023-05-14,32
2023-05-21,32
2023-05-28,44
2023-06-04,44
2023-06-11,38
2023-06-18,37
2023-06-25,36
2023-07-02,52
2023-07-09,39
2023-07-16,40
2023-07-23,34
2023-07-30,47
2023-08-06,54
2023-08-13,57
2023-08-20,55
2023-08-27,56
2023-09-03,54
2023-09-10,54
2023-09-17,64
2023-09-24,51
2023-10-01,61
2023-10-08,49
2023-10-15,43
2023-10-22,35
2023-10-29,40
2023-11-05,46
2023-11-12,40
2023-11-19,30
2023-11-26,40
2023-12-03,40
2023-12-10,35
2023-12-17,31
2023-12-24,30
2023-12-31,43
2024-01-07,39
2024-01-14,27
2024-01-21,31
2024-01-28,31
2024-02-04,35
