date,2024-02-16
2020-02-02,23
2020-02-09,6
2020-02-16,6
2020-02-23,0
2020-03-01,6
2020-03-08,8
2020-03-15,33
2020-03-22,20
2020-03-29,26
2020-04-05,39
2020-04-12,41
2020-04-19,30
2020-04-26,19
2020-05-03,10
2020-05-10,34
2020-05-17,37
2020-05-24,10
2020-05-31,37
2020-06-07,45
2020-06-14,33
2020-06-21,41
2020-06-28,32
2020-07-05,51
2020-07-12,23
2020-07-19,22
2020-07-26,19
2020-08-02,18
2020-08-09,18
2020-08-16,9
2020-08-23,7
2020-08-30,17
2020-09-06,7
2020-09-13,15
2020-09-20,9
2020-09-27,9
2020-10-04,25
2020-10-11,26
2020-10-18,17
2020-10-25,12
2020-11-01,10
2020-11-08,12
2020-11-15,16
2020-11-22,12
2020-11-29,13
2020-12-06,13
2020-12-13,16
2020-12-20,8
2020-12-27,24
2021-01-03,8
2021-01-10,29
2021-01-17,16
2021-01-24,25
2021-01-31,17
2021-02-07,28
2021-02-14,39
2021-02-21,58
2021-02-28,25
2021-03-07,18
2021-03-14,18
2021-03-21,11
2021-03-28,9
2021-04-04,16
2021-04-11,16
2021-04-18,20
2021-04-25,20
2021-05-02,12
2021-05-09,17
2021-05-16,25
2021-05-23,100
2021-05-30,44
2021-06-06,47
2021-06-13,36
2021-06-20,23
2021-06-27,22
2021-07-04,26
2021-07-11,22
2021-07-18,27
2021-07-25,35
2021-08-01,15
2021-08-08,20
2021-08-15,35
2021-08-22,21
2021-08-29,31
2021-09-05,32
2021-09-12,20
2021-09-19,17
2021-09-26,0
2021-10-03,27
2021-10-10,24
2021-10-17,14
2021-10-24,9
2021-10-31,29
2021-11-07,24
2021-11-14,12
2021-11-21,21
2021-11-28,37
2021-12-05,0
2021-12-12,13
2021-12-19,9
2021-12-26,9
2022-01-02,23
2022-01-09,7
2022-01-16,0
2022-01-23,13
2022-01-30,14
2022-02-06,21
2022-02-13,21
2022-02-20,14
2022-02-27,27
2022-03-06,30
2022-03-13,24
2022-03-20,6
2022-03-27,20
2022-04-03,18
2022-04-10,25
2022-04-17,22
2022-04-24,13
2022-05-01,12
2022-05-08,19
2022-05-15,30
2022-05-22,19
2022-05-29,30
2022-06-05,68
2022-06-12,21
2022-06-19,28
2022-06-26,32
2022-07-03,43
2022-07-10,21
2022-07-17,26
2022-07-24,29
2022-07-31,32
2022-08-07,0
2022-08-14,21
2022-08-21,23
2022-08-28,34
2022-09-04,19
2022-09-11,22
2022-09-18,13
2022-09-25,29
2022-10-02,36
2022-10-09,19
2022-10-16,0
2022-10-23,28
2022-10-30,36
2022-11-06,25
2022-11-13,7
2022-11-20,20
2022-11-27,22
2022-12-04,19
2022-12-11,29
2022-12-18,15
2022-12-25,35
2023-01-01,20
2023-01-08,24
2023-01-15,12
2023-01-22,29
2023-01-29,25
2023-02-05,30
2023-02-12,14
2023-02-19,18
2023-02-26,9
2023-03-05,18
2023-03-12,10
2023-03-19,18
2023-03-26,0
2023-04-02,16
2023-04-09,20
2023-04-16,15
2023-04-23,14
2023-04-30,11
2023-05-07,28
2023-05-14,0
2023-05-21,13
2023-05-28,21
2023-06-04,28
2023-06-11,25
2023-06-18,13
2023-06-25,18
2023-07-02,31
2023-07-09,28
2023-07-16,22
2023-07-23,14
2023-07-30,20
2023-08-06,13
2023-08-13,20
2023-08-20,16
2023-08-27,14
2023-09-03,15
2023-09-10,16
2023-09-17,0
2023-09-24,15
2023-10-01,8
2023-10-08,20
2023-10-15,24
2023-10-22,16
2023-10-29,8
2023-11-05,16
2023-11-12,0
2023-11-19,24
2023-11-26,18
2023-12-03,19
2023-12-10,8
2023-12-17,0
2023-12-24,10
2023-12-31,17
2024-01-07,32
2024-01-14,14
2024-01-21,11
2024-01-28,15
2024-02-04,27
