date,2024-02-16
2020-02-02,12
2020-02-09,10
2020-02-16,8
2020-02-23,7
2020-03-01,11
2020-03-08,10
2020-03-15,10
2020-03-22,8
2020-03-29,17
2020-04-05,16
2020-04-12,19
2020-04-19,12
2020-04-26,26
2020-05-03,26
2020-05-10,46
2020-05-17,90
2020-05-24,100
2020-05-31,67
2020-06-07,62
2020-06-14,43
2020-06-21,44
2020-06-28,41
2020-07-05,39
2020-07-12,32
2020-07-19,32
2020-07-26,30
2020-08-02,34
2020-08-09,27
2020-08-16,23
2020-08-23,18
2020-08-30,23
2020-09-06,17
2020-09-13,18
2020-09-20,15
2020-09-27,20
2020-10-04,21
2020-10-11,19
2020-10-18,23
2020-10-25,19
2020-11-01,19
2020-11-08,29
2020-11-15,23
2020-11-22,23
2020-11-29,34
2020-12-06,34
2020-12-13,38
2020-12-20,30
2020-12-27,24
2021-01-03,24
2021-01-10,23
2021-01-17,19
2021-01-24,20
2021-01-31,19
2021-02-07,24
2021-02-14,22
2021-02-21,21
2021-02-28,21
2021-03-07,29
2021-03-14,23
2021-03-21,18
2021-03-28,22
2021-04-04,23
2021-04-11,20
2021-04-18,15
2021-04-25,18
2021-05-02,23
2021-05-09,25
2021-05-16,24
2021-05-23,33
2021-05-30,28
2021-06-06,25
2021-06-13,27
2021-06-20,22
2021-06-27,23
2021-07-04,37
2021-07-11,39
2021-07-18,27
2021-07-25,24
2021-08-01,29
2021-08-08,33
2021-08-15,24
2021-08-22,23
2021-08-29,35
2021-09-05,42
2021-09-12,30
2021-09-19,33
2021-09-26,35
2021-10-03,37
2021-10-10,32
2021-10-17,37
2021-10-24,41
2021-10-31,59
2021-11-07,55
2021-11-14,47
2021-11-21,35
2021-11-28,45
2021-12-05,43
2021-12-12,43
2021-12-19,41
2021-12-26,29
2022-01-02,39
2022-01-09,42
2022-01-16,40
2022-01-23,42
2022-01-30,40
2022-02-06,37
2022-02-13,33
2022-02-20,30
2022-02-27,34
2022-03-06,30
2022-03-13,27
2022-03-20,25
2022-03-27,26
2022-04-03,28
2022-04-10,23
2022-04-17,25
2022-04-24,20
2022-05-01,25
2022-05-08,29
2022-05-15,29
2022-05-22,21
2022-05-29,32
2022-06-05,35
2022-06-12,32
2022-06-19,29
2022-06-26,32
2022-07-03,34
2022-07-10,33
2022-07-17,42
2022-07-24,25
2022-07-31,33
2022-08-07,34
2022-08-14,32
2022-08-21,29
2022-08-28,35
2022-09-04,35
2022-09-11,34
2022-09-18,27
2022-09-25,28
2022-10-02,38
2022-10-09,36
2022-10-16,32
2022-10-23,30
2022-10-30,41
2022-11-06,46
2022-11-13,48
2022-11-20,36
2022-11-27,37
2022-12-04,41
2022-12-11,45
2022-12-18,63
2022-12-25,40
2023-01-01,45
2023-01-08,57
2023-01-15,53
2023-01-22,45
2023-01-29,57
2023-02-05,51
2023-02-12,35
2023-02-19,35
2023-02-26,33
2023-03-05,35
2023-03-12,31
2023-03-19,30
2023-03-26,31
2023-04-02,38
2023-04-09,35
2023-04-16,24
2023-04-23,22
2023-04-30,29
2023-05-07,28
2023-05-14,23
2023-05-21,22
2023-05-28,25
2023-06-04,35
2023-06-11,30
2023-06-18,25
2023-06-25,23
2023-07-02,34
2023-07-09,31
2023-07-16,27
2023-07-23,29
2023-07-30,37
2023-08-06,53
2023-08-13,38
2023-08-20,38
2023-08-27,41
2023-09-03,41
2023-09-10,42
2023-09-17,41
2023-09-24,34
2023-10-01,40
2023-10-08,33
2023-10-15,25
2023-10-22,23
2023-10-29,32
2023-11-05,35
2023-11-12,21
2023-11-19,18
2023-11-26,23
2023-12-03,28
2023-12-10,23
2023-12-17,17
2023-12-24,17
2023-12-31,26
2024-01-07,24
2024-01-14,20
2024-01-21,21
2024-01-28,23
2024-02-04,29
