date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,0.0,0.0,0.0,0.0,0.0
2018-01-14,58.0,58.0,58.0,58.0,58.0
2018-01-21,46.0,46.0,46.0,46.0,46.0
2018-01-28,35.0,35.0,35.0,35.0,35.0
2018-02-04,27.0,27.0,27.0,27.0,27.0
2018-02-11,42.0,42.0,42.0,42.0,42.0
2018-02-18,30.0,30.0,30.0,30.0,30.0
2018-02-25,34.0,34.0,34.0,34.0,34.0
2018-03-04,32.0,32.0,32.0,32.0,32.0
2018-03-11,19.0,19.0,19.0,19.0,19.0
2018-03-18,13.0,13.0,13.0,13.0,13.0
2018-03-25,35.0,35.0,35.0,35.0,35.0
2018-04-01,36.0,36.0,36.0,36.0,36.0
2018-04-08,25.0,25.0,25.0,25.0,25.0
2018-04-15,21.0,21.0,21.0,21.0,21.0
2018-04-22,28.0,28.0,28.0,28.0,28.0
2018-04-29,24.0,24.0,24.0,24.0,24.0
2018-05-06,52.0,52.0,52.0,52.0,52.0
2018-05-13,37.0,37.0,37.0,37.0,37.0
2018-05-20,27.0,27.0,27.0,27.0,27.0
2018-05-27,25.0,25.0,25.0,25.0,25.0
2018-06-03,37.0,37.0,37.0,37.0,37.0
2018-06-10,31.0,31.0,31.0,31.0,31.0
2018-06-17,35.0,35.0,35.0,35.0,35.0
2018-06-24,48.0,48.0,48.0,48.0,48.0
2018-07-01,38.0,38.0,38.0,38.0,38.0
2018-07-08,34.0,34.0,34.0,34.0,34.0
2018-07-15,38.0,38.0,38.0,38.0,38.0
2018-07-22,26.0,26.0,26.0,26.0,26.0
2018-07-29,22.0,22.0,22.0,22.0,22.0
2018-08-05,48.0,48.0,48.0,48.0,48.0
2018-08-12,56.0,56.0,56.0,56.0,56.0
2018-08-19,55.0,55.0,55.0,55.0,55.0
2018-08-26,23.0,23.0,23.0,23.0,23.0
2018-09-02,40.0,40.0,40.0,40.0,40.0
2018-09-09,30.0,30.0,30.0,30.0,30.0
2018-09-16,54.0,54.0,54.0,54.0,54.0
2018-09-23,100.0,100.0,100.0,100.0,100.0
2018-09-30,43.0,43.0,43.0,43.0,43.0
2018-10-07,27.0,27.0,27.0,27.0,27.0
2018-10-14,36.0,36.0,36.0,36.0,36.0
2018-10-21,9.0,9.0,9.0,9.0,9.0
2018-10-28,25.0,25.0,25.0,25.0,25.0
2018-11-04,31.0,31.0,31.0,31.0,31.0
2018-11-11,15.0,15.0,15.0,15.0,15.0
2018-11-18,15.0,15.0,15.0,15.0,15.0
2018-11-25,32.0,32.0,32.0,32.0,32.0
2018-12-02,39.0,39.0,39.0,39.0,39.0
2018-12-09,24.0,24.0,24.0,24.0,24.0
2018-12-16,38.0,38.0,38.0,38.0,38.0
2018-12-23,16.0,16.0,16.0,16.0,16.0
2018-12-30,24.0,24.0,24.0,24.0,24.0
2019-01-06,,85.55555555555556,85.55555555555556,85.55555555555556,85.55555555555556
2019-01-13,,111.11111111111111,111.11111111111111,111.11111111111111,111.11111111111111
2019-01-20,,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779
2019-01-27,,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
2019-02-03,,45.55555555555556,45.55555555555556,45.55555555555556,45.55555555555556
2019-02-10,,17.77777777777778,17.77777777777778,17.77777777777778,17.77777777777778
2019-02-17,,58.88888888888889,58.88888888888889,58.88888888888889,58.88888888888889
2019-02-24,,62.22222222222223,62.22222222222223,62.22222222222223,62.22222222222223
2019-03-03,,35.55555555555556,35.55555555555556,35.55555555555556,35.55555555555556
2019-03-10,,41.111111111111114,41.111111111111114,41.111111111111114,41.111111111111114
2019-03-17,,23.333333333333336,23.333333333333336,23.333333333333336,23.333333333333336
2019-03-24,,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
2019-03-31,,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778
2019-04-07,,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
2019-04-14,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
2019-04-21,,0.0,0.0,0.0,0.0
2019-04-28,,25.555555555555557,25.555555555555557,25.555555555555557,25.555555555555557
2019-05-05,,32.22222222222222,32.22222222222222,32.22222222222222,32.22222222222222
2019-05-12,,36.66666666666667,36.66666666666667,36.66666666666667,36.66666666666667
2019-05-19,,45.55555555555556,45.55555555555556,45.55555555555556,45.55555555555556
2019-05-26,,36.66666666666667,36.66666666666667,36.66666666666667,36.66666666666667
2019-06-02,,25.555555555555557,25.555555555555557,25.555555555555557,25.555555555555557
2019-06-09,,75.55555555555556,75.55555555555556,75.55555555555556,75.55555555555556
2019-06-16,,45.55555555555556,45.55555555555556,45.55555555555556,45.55555555555556
2019-06-23,,31.111111111111114,31.111111111111114,31.111111111111114,31.111111111111114
2019-06-30,,45.55555555555556,45.55555555555556,45.55555555555556,45.55555555555556
2019-07-07,,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778
2019-07-14,,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
2019-07-21,,36.66666666666667,36.66666666666667,36.66666666666667,36.66666666666667
2019-07-28,,44.44444444444444,44.44444444444444,44.44444444444444,44.44444444444444
2019-08-04,,46.66666666666667,46.66666666666667,46.66666666666667,46.66666666666667
2019-08-11,,45.55555555555556,45.55555555555556,45.55555555555556,45.55555555555556
2019-08-18,,27.77777777777778,27.77777777777778,27.77777777777778,27.77777777777778
2019-08-25,,15.555555555555557,15.555555555555557,15.555555555555557,15.555555555555557
2019-09-01,,15.555555555555557,15.555555555555557,15.555555555555557,15.555555555555557
2019-09-08,,40.0,40.0,40.0,40.0
2019-09-15,,47.77777777777778,47.77777777777778,47.77777777777778,47.77777777777778
2019-09-22,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
2019-09-29,,42.22222222222222,42.22222222222222,42.22222222222222,42.22222222222222
2019-10-06,,13.333333333333334,13.333333333333334,13.333333333333334,13.333333333333334
2019-10-13,,23.333333333333336,23.333333333333336,23.333333333333336,23.333333333333336
2019-10-20,,38.88888888888889,38.88888888888889,38.88888888888889,38.88888888888889
2019-10-27,,17.77777777777778,17.77777777777778,17.77777777777778,17.77777777777778
2019-11-03,,21.11111111111111,21.11111111111111,21.11111111111111,21.11111111111111
2019-11-10,,47.77777777777778,47.77777777777778,47.77777777777778,47.77777777777778
2019-11-17,,23.333333333333336,23.333333333333336,23.333333333333336,23.333333333333336
2019-11-24,,23.333333333333336,23.333333333333336,23.333333333333336,23.333333333333336
2019-12-01,,42.22222222222222,42.22222222222222,42.22222222222222,42.22222222222222
2019-12-08,,54.44444444444445,54.44444444444445,54.44444444444445,54.44444444444445
2019-12-15,,35.55555555555556,35.55555555555556,35.55555555555556,35.55555555555556
