date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,55.0,55.0,55.0,55.0,55.0
2018-01-14,56.0,56.0,56.0,56.0,56.0
2018-01-21,52.0,52.0,52.0,52.0,52.0
2018-01-28,47.0,47.0,47.0,47.0,47.0
2018-02-04,56.0,56.0,56.0,56.0,56.0
2018-02-11,100.0,100.0,100.0,100.0,100.0
2018-02-18,68.0,68.0,68.0,68.0,68.0
2018-02-25,56.0,56.0,56.0,56.0,56.0
2018-03-04,57.0,57.0,57.0,57.0,57.0
2018-03-11,43.0,43.0,43.0,43.0,43.0
2018-03-18,57.0,57.0,57.0,57.0,57.0
2018-03-25,29.0,29.0,29.0,29.0,29.0
2018-04-01,75.0,75.0,75.0,75.0,75.0
2018-04-08,58.0,58.0,58.0,58.0,58.0
2018-04-15,40.0,40.0,40.0,40.0,40.0
2018-04-22,51.0,51.0,51.0,51.0,51.0
2018-04-29,50.0,50.0,50.0,50.0,50.0
2018-05-06,86.0,86.0,86.0,86.0,86.0
2018-05-13,45.0,45.0,45.0,45.0,45.0
2018-05-20,64.0,64.0,64.0,64.0,64.0
2018-05-27,48.0,48.0,48.0,48.0,48.0
2018-06-03,66.0,66.0,66.0,66.0,66.0
2018-06-10,39.0,39.0,39.0,39.0,39.0
2018-06-17,76.0,76.0,76.0,76.0,76.0
2018-06-24,71.0,71.0,71.0,71.0,71.0
2018-07-01,75.0,75.0,75.0,75.0,75.0
2018-07-08,49.0,49.0,49.0,49.0,49.0
2018-07-15,46.0,46.0,46.0,46.0,46.0
2018-07-22,73.0,73.0,73.0,73.0,73.0
2018-07-29,65.0,65.0,65.0,65.0,65.0
2018-08-05,81.0,81.0,81.0,81.0,81.0
2018-08-12,40.0,40.0,40.0,40.0,40.0
2018-08-19,32.0,32.0,32.0,32.0,32.0
2018-08-26,42.0,42.0,42.0,42.0,42.0
2018-09-02,51.0,51.0,51.0,51.0,51.0
2018-09-09,43.0,43.0,43.0,43.0,43.0
2018-09-16,46.0,46.0,46.0,46.0,46.0
2018-09-23,43.0,43.0,43.0,43.0,43.0
2018-09-30,57.0,57.0,57.0,57.0,57.0
2018-10-07,66.0,66.0,66.0,66.0,66.0
2018-10-14,50.0,50.0,50.0,50.0,50.0
2018-10-21,35.0,35.0,35.0,35.0,35.0
2018-10-28,53.0,53.0,53.0,53.0,53.0
2018-11-04,49.0,49.0,49.0,49.0,49.0
2018-11-11,48.0,48.0,48.0,48.0,48.0
2018-11-18,46.0,46.0,46.0,46.0,46.0
2018-11-25,65.0,65.0,65.0,65.0,65.0
2018-12-02,82.0,82.0,82.0,82.0,82.0
2018-12-09,55.0,55.0,55.0,55.0,55.0
2018-12-16,53.0,53.0,53.0,53.0,53.0
2018-12-23,69.0,69.0,69.0,69.0,69.0
2018-12-30,68.0,68.0,68.0,68.0,68.0
2019-01-06,,161.53846153846155,161.53846153846155,161.53846153846155,161.53846153846155
2019-01-13,,256.4102564102564,256.4102564102564,256.4102564102564,256.4102564102564
2019-01-20,,92.30769230769232,92.30769230769232,92.30769230769232,92.30769230769232
2019-01-27,,82.05128205128206,82.05128205128206,82.05128205128206,82.05128205128206
2019-02-03,,69.23076923076924,69.23076923076924,69.23076923076924,69.23076923076924
2019-02-10,,43.58974358974359,43.58974358974359,43.58974358974359,43.58974358974359
2019-02-17,,79.48717948717949,79.48717948717949,79.48717948717949,79.48717948717949
2019-02-24,,53.846153846153854,53.846153846153854,53.846153846153854,53.846153846153854
2019-03-03,,74.35897435897436,74.35897435897436,74.35897435897436,74.35897435897436
2019-03-10,,48.71794871794872,48.71794871794872,48.71794871794872,48.71794871794872
2019-03-17,,48.71794871794872,48.71794871794872,48.71794871794872,48.71794871794872
2019-03-24,,51.282051282051285,51.282051282051285,51.282051282051285,51.282051282051285
2019-03-31,,51.282051282051285,51.282051282051285,51.282051282051285,51.282051282051285
2019-04-07,,43.58974358974359,43.58974358974359,43.58974358974359,43.58974358974359
2019-04-14,,33.333333333333336,33.333333333333336,33.333333333333336,33.333333333333336
2019-04-21,,35.8974358974359,35.8974358974359,35.8974358974359,35.8974358974359
2019-04-28,,61.53846153846155,61.53846153846155,61.53846153846155,61.53846153846155
2019-05-05,,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
2019-05-12,,25.641025641025642,25.641025641025642,25.641025641025642,25.641025641025642
2019-05-19,,66.66666666666667,66.66666666666667,66.66666666666667,66.66666666666667
2019-05-26,,61.53846153846155,61.53846153846155,61.53846153846155,61.53846153846155
