date,2020-01-01,2021-01-01,2022-01-01
2018-12-30,35.0,35.0,35
2019-01-06,61.0,61.0,61
2019-01-13,100.0,100.0,100
2019-01-20,63.0,63.0,63
2019-01-27,40.0,40.0,40
2019-02-03,47.0,47.0,47
2019-02-10,37.0,37.0,37
2019-02-17,33.0,33.0,33
2019-02-24,31.0,31.0,31
2019-03-03,31.0,31.0,31
2019-03-10,33.0,33.0,33
2019-03-17,18.0,18.0,18
2019-03-24,39.0,39.0,39
2019-03-31,20.0,20.0,20
2019-04-07,38.0,38.0,38
2019-04-14,41.0,41.0,41
2019-04-21,37.0,37.0,37
2019-04-28,38.0,38.0,38
2019-05-05,25.0,25.0,25
2019-05-12,45.0,45.0,45
2019-05-19,37.0,37.0,37
2019-05-26,23.0,23.0,23
2019-06-02,37.0,37.0,37
2019-06-09,42.0,42.0,42
2019-06-16,42.0,42.0,42
2019-06-23,34.0,34.0,34
2019-06-30,39.0,39.0,39
2019-07-07,40.0,40.0,40
2019-07-14,33.0,33.0,33
2019-07-21,49.0,49.0,49
2019-07-28,30.0,30.0,30
2019-08-04,42.0,42.0,42
2019-08-11,42.0,42.0,42
2019-08-18,43.0,43.0,43
2019-08-25,32.0,32.0,32
2019-09-01,39.0,39.0,39
2019-09-08,39.0,39.0,39
2019-09-15,29.0,29.0,29
2019-09-22,20.0,20.0,20
2019-09-29,31.0,31.0,31
2019-10-06,39.0,39.0,39
2019-10-13,30.0,30.0,30
2019-10-20,46.0,46.0,46
2019-10-27,42.0,42.0,42
2019-11-03,47.0,47.0,47
2019-11-10,42.0,42.0,42
2019-11-17,43.0,43.0,43
2019-11-24,23.0,23.0,23
2019-12-01,72.0,72.0,72
2019-12-08,52.0,52.0,52
2019-12-15,33.0,33.0,33
2019-12-22,19.0,19.0,19
2019-12-29,35.0,35.0,35
2020-01-05,,47.0,47
2020-01-12,,37.0,37
2020-01-19,,31.0,31
2020-01-26,,29.0,29
2020-02-02,,35.0,35
2020-02-09,,44.0,44
2020-02-16,,39.0,39
2020-02-23,,37.0,37
2020-03-01,,24.0,24
2020-03-08,,43.0,43
2020-03-15,,62.0,62
2020-03-22,,72.0,72
2020-03-29,,84.0,84
2020-04-05,,90.0,90
2020-04-12,,83.0,83
2020-04-19,,72.0,72
2020-04-26,,67.0,67
2020-05-03,,71.0,71
2020-05-10,,66.0,66
2020-05-17,,79.0,79
2020-05-24,,56.0,56
2020-05-31,,47.0,47
2020-06-07,,72.0,72
2020-06-14,,42.0,42
2020-06-21,,43.0,43
2020-06-28,,52.0,52
2020-07-05,,46.0,46
2020-07-12,,45.0,45
2020-07-19,,39.0,39
2020-07-26,,39.0,39
2020-08-02,,36.0,36
2020-08-09,,53.0,53
2020-08-16,,41.0,41
2020-08-23,,38.0,38
2020-08-30,,45.0,45
2020-09-06,,55.0,55
2020-09-13,,37.0,37
2020-09-20,,45.0,45
2020-09-27,,49.0,49
2020-10-04,,44.0,44
2020-10-11,,40.0,40
2020-10-18,,55.0,55
2020-10-25,,29.0,29
2020-11-01,,35.0,35
2020-11-08,,56.0,56
2020-11-15,,46.0,46
2020-11-22,,37.0,37
2020-11-29,,58.0,58
2020-12-06,,50.0,50
2020-12-13,,54.0,54
2020-12-20,,52.0,52
2020-12-27,,60.0,60
2021-01-03,,,46
2021-01-10,,,57
2021-01-17,,,60
2021-01-24,,,48
2021-01-31,,,54
2021-02-07,,,50
2021-02-14,,,45
2021-02-21,,,54
2021-02-28,,,54
2021-03-07,,,45
2021-03-14,,,39
2021-03-21,,,33
2021-03-28,,,39
2021-04-04,,,46
2021-04-11,,,39
2021-04-18,,,40
2021-04-25,,,45
2021-05-02,,,51
2021-05-09,,,48
2021-05-16,,,48
2021-05-23,,,44
2021-05-30,,,57
2021-06-06,,,50
2021-06-13,,,50
2021-06-20,,,44
2021-06-27,,,44
2021-07-04,,,59
2021-07-11,,,48
2021-07-18,,,40
2021-07-25,,,30
2021-08-01,,,40
2021-08-08,,,56
2021-08-15,,,77
2021-08-22,,,47
2021-08-29,,,58
2021-09-05,,,76
2021-09-12,,,62
2021-09-19,,,67
2021-09-26,,,52
2021-10-03,,,41
2021-10-10,,,54
2021-10-17,,,63
2021-10-24,,,55
2021-10-31,,,42
2021-11-07,,,57
2021-11-14,,,47
2021-11-21,,,40
2021-11-28,,,48
2021-12-05,,,67
2021-12-12,,,51
2021-12-19,,,37
2021-12-26,,,50
