date,2023-01-01
2018-01-07,34.0
2018-01-14,17.0
2018-01-21,21.0
2018-01-28,41.0
2018-02-04,49.0
2018-02-11,100.0
2018-02-18,30.0
2018-02-25,32.0
2018-03-04,26.0
2018-03-11,13.0
2018-03-18,0.0
2018-03-25,27.0
2018-04-01,55.0
2018-04-08,26.0
2018-04-15,46.0
2018-04-22,21.0
2018-04-29,17.0
2018-05-06,57.0
2018-05-13,0.0
2018-05-20,36.0
2018-05-27,44.0
2018-06-03,40.0
2018-06-10,14.0
2018-06-17,37.0
2018-06-24,9.0
2018-07-01,41.0
2018-07-08,34.0
2018-07-15,26.0
2018-07-22,26.0
2018-07-29,46.0
2018-08-05,28.0
2018-08-12,16.0
2018-08-19,29.0
2018-08-26,31.0
2018-09-02,44.0
2018-09-09,22.0
2018-09-16,25.0
2018-09-23,24.0
2018-09-30,36.0
2018-10-07,30.0
2018-10-14,45.0
2018-10-21,41.0
2018-10-28,23.0
2018-11-04,19.0
2018-11-11,0.0
2018-11-18,11.0
2018-11-25,11.0
2018-12-02,37.0
2018-12-09,54.0
2018-12-16,22.0
2018-12-23,11.0
2018-12-30,39.0
2019-01-06,42.857142857142854
2019-01-13,158.73015873015873
2019-01-20,57.14285714285714
2019-01-27,28.57142857142857
2019-02-03,34.92063492063492
2019-02-10,76.19047619047619
2019-02-17,20.634920634920633
2019-02-24,42.857142857142854
2019-03-03,34.92063492063492
2019-03-10,34.92063492063492
2019-03-17,36.507936507936506
2019-03-24,0.0
2019-03-31,49.2063492063492
2019-04-07,36.507936507936506
2019-04-14,46.03174603174603
2019-04-21,19.047619047619047
2019-04-28,66.66666666666666
2019-05-05,58.73015873015873
2019-05-12,50.79365079365079
2019-05-19,15.873015873015872
2019-05-26,41.269841269841265
2019-06-02,39.682539682539684
2019-06-09,34.92063492063492
2019-06-16,34.92063492063492
2019-06-23,31.746031746031743
2019-06-30,49.2063492063492
2019-07-07,38.095238095238095
2019-07-14,30.158730158730158
2019-07-21,28.57142857142857
2019-07-28,66.66666666666666
2019-08-04,50.79365079365079
2019-08-11,63.49206349206349
2019-08-18,22.22222222222222
2019-08-25,7.936507936507936
2019-09-01,30.158730158730158
2019-09-08,38.095238095238095
2019-09-15,19.047619047619047
2019-09-22,0.0
2019-09-29,39.682539682539684
2019-10-06,36.507936507936506
2019-10-13,33.33333333333333
2019-10-20,12.698412698412698
2019-10-27,31.746031746031743
2019-11-03,73.01587301587301
2019-11-10,33.33333333333333
2019-11-17,0.0
2019-11-24,20.634920634920633
2019-12-01,42.857142857142854
2019-12-08,33.33333333333333
2019-12-15,15.873015873015872
2019-12-22,0.0
2019-12-29,39.682539682539684
2020-01-05,22.0
2020-01-12,12.0
2020-01-19,10.0
2020-01-26,16.0
2020-02-02,11.0
2020-02-09,16.0
2020-02-16,24.0
2020-02-23,14.0
2020-03-01,18.0
2020-03-08,12.0
2020-03-15,36.0
2020-03-22,27.0
2020-03-29,44.0
2020-04-05,53.0
2020-04-12,54.0
2020-04-19,26.0
2020-04-26,54.0
2020-05-03,32.0
2020-05-10,51.0
2020-05-17,47.0
2020-05-24,41.0
2020-05-31,42.0
