date,2019-01-01,2020-01-01,2021-01-01,2022-01-01,2023-01-01
2018-01-07,69.0,45.0,23.0,,
2018-01-14,65.0,43.0,22.0,,
2018-01-21,67.0,44.0,22.0,,
2018-01-28,70.0,46.0,24.0,,
2018-02-04,73.0,48.0,25.0,,
2018-02-11,100.0,65.0,34.0,,
2018-02-18,62.0,40.0,21.0,,
2018-02-25,57.0,37.0,19.0,,
2018-03-04,63.0,41.0,21.0,,
2018-03-11,67.0,44.0,22.0,,
2018-03-18,54.0,35.0,18.0,,
2018-03-25,50.0,32.0,17.0,,
2018-04-01,53.0,35.0,18.0,,
2018-04-08,61.0,40.0,20.0,,
2018-04-15,48.0,32.0,16.0,,
2018-04-22,61.0,40.0,20.0,,
2018-04-29,54.0,35.0,18.0,,
2018-05-06,58.0,38.0,19.0,,
2018-05-13,59.0,38.0,20.0,,
2018-05-20,53.0,35.0,18.0,,
2018-05-27,52.0,34.0,18.0,,
2018-06-03,70.0,46.0,23.0,,
2018-06-10,58.0,38.0,20.0,,
2018-06-17,64.0,42.0,22.0,,
2018-06-24,57.0,37.0,19.0,,
2018-07-01,71.0,46.0,24.0,,
2018-07-08,79.0,52.0,27.0,,
2018-07-15,68.0,45.0,23.0,,
2018-07-22,57.0,38.0,19.0,,
2018-07-29,60.0,40.0,20.0,,
2018-08-05,77.0,50.0,26.0,,
2018-08-12,74.0,49.0,25.0,,
2018-08-19,69.0,45.0,23.0,,
2018-08-26,71.0,46.0,24.0,,
2018-09-02,69.0,45.0,23.0,,
2018-09-09,71.0,47.0,24.0,,
2018-09-16,57.0,38.0,19.0,,
2018-09-23,65.0,43.0,22.0,,
2018-09-30,71.0,46.0,24.0,,
2018-10-07,69.0,45.0,23.0,,
2018-10-14,56.0,37.0,19.0,,
2018-10-21,48.0,31.0,16.0,,
2018-10-28,52.0,34.0,17.0,,
2018-11-04,71.0,47.0,24.0,,
2018-11-11,64.0,42.0,21.0,,
2018-11-18,47.0,31.0,16.0,,
2018-11-25,55.0,36.0,18.0,,
2018-12-02,61.0,40.0,21.0,,
2018-12-09,52.0,34.0,17.0,,
2018-12-16,52.0,34.0,17.0,,
2018-12-23,49.0,32.0,16.0,,
2018-12-30,71.0,47.0,24.0,,
2019-01-06,,82.0,42.0,42.0,
2019-01-13,,100.0,51.0,51.0,
2019-01-20,,62.0,32.0,32.0,
2019-01-27,,35.0,18.0,18.0,
2019-02-03,,36.0,18.0,18.0,
2019-02-10,,41.0,21.0,21.0,
2019-02-17,,46.0,23.0,23.0,
2019-02-24,,40.0,20.0,20.0,
2019-03-03,,40.0,21.0,21.0,
2019-03-10,,44.0,23.0,23.0,
2019-03-17,,30.0,15.0,15.0,
2019-03-24,,36.0,18.0,18.0,
2019-03-31,,41.0,21.0,21.0,
2019-04-07,,44.0,22.0,22.0,
2019-04-14,,39.0,20.0,20.0,
2019-04-21,,33.0,17.0,17.0,
2019-04-28,,32.0,16.0,16.0,
2019-05-05,,36.0,18.0,18.0,
2019-05-12,,40.0,20.0,20.0,
2019-05-19,,42.0,21.0,21.0,
2019-05-26,,38.0,20.0,20.0,
2019-06-02,,45.0,23.0,23.0,
2019-06-09,,42.0,22.0,22.0,
2019-06-16,,42.0,21.0,21.0,
2019-06-23,,42.0,21.0,21.0,
2019-06-30,,43.0,22.0,22.0,
2019-07-07,,51.0,26.0,26.0,
2019-07-14,,41.0,21.0,21.0,
2019-07-21,,53.0,27.0,27.0,
2019-07-28,,45.0,23.0,23.0,
2019-08-04,,52.0,27.0,27.0,
2019-08-11,,49.0,25.0,25.0,
2019-08-18,,41.0,21.0,21.0,
2019-08-25,,44.0,22.0,22.0,
2019-09-01,,48.0,25.0,25.0,
2019-09-08,,43.0,22.0,22.0,
2019-09-15,,49.0,25.0,25.0,
2019-09-22,,47.0,24.0,24.0,
2019-09-29,,45.0,23.0,23.0,
2019-10-06,,46.0,23.0,23.0,
2019-10-13,,41.0,21.0,21.0,
2019-10-20,,37.0,19.0,19.0,
2019-10-27,,35.0,18.0,18.0,
2019-11-03,,46.0,23.0,23.0,
2019-11-10,,37.0,19.0,19.0,
2019-11-17,,39.0,20.0,20.0,
2019-11-24,,28.0,14.0,14.0,
2019-12-01,,53.0,27.0,27.0,
2019-12-08,,44.0,23.0,23.0,
2019-12-15,,35.0,18.0,18.0,
2019-12-22,,35.0,18.0,18.0,
2019-12-29,,49.0,25.0,25.0,
2020-01-05,,,23.0,23.0,23.0
2020-01-12,,,23.0,23.0,23.0
2020-01-19,,,19.0,19.0,19.0
2020-01-26,,,20.0,20.0,20.0
2020-02-02,,,20.0,20.0,20.0
2020-02-09,,,20.0,20.0,20.0
2020-02-16,,,19.0,19.0,19.0
2020-02-23,,,17.0,17.0,17.0
2020-03-01,,,21.0,21.0,21.0
2020-03-08,,,25.0,25.0,25.0
2020-03-15,,,65.0,65.0,65.0
2020-03-22,,,64.0,64.0,64.0
2020-03-29,,,78.0,78.0,78.0
2020-04-05,,,93.0,93.0,93.0
2020-04-12,,,100.0,100.0,100.0
2020-04-19,,,72.0,72.0,72.0
2020-04-26,,,48.0,48.0,48.0
2020-05-03,,,47.0,47.0,47.0
2020-05-10,,,57.0,57.0,57.0
2020-05-17,,,53.0,53.0,53.0
2020-05-24,,,39.0,39.0,39.0
2020-05-31,,,46.0,46.0,46.0
2020-06-07,,,42.0,42.0,42.0
2020-06-14,,,39.0,39.0,39.0
2020-06-21,,,43.0,43.0,43.0
2020-06-28,,,47.0,47.0,47.0
2020-07-05,,,40.0,40.0,40.0
2020-07-12,,,31.0,31.0,31.0
2020-07-19,,,35.0,35.0,35.0
2020-07-26,,,37.0,37.0,37.0
2020-08-02,,,35.0,35.0,35.0
2020-08-09,,,39.0,39.0,39.0
2020-08-16,,,34.0,34.0,34.0
2020-08-23,,,31.0,31.0,31.0
2020-08-30,,,37.0,37.0,37.0
2020-09-06,,,29.0,29.0,29.0
2020-09-13,,,27.0,27.0,27.0
2020-09-20,,,26.0,26.0,26.0
2020-09-27,,,33.0,33.0,33.0
2020-10-04,,,34.0,34.0,34.0
2020-10-11,,,35.0,35.0,35.0
2020-10-18,,,32.0,32.0,32.0
2020-10-25,,,36.0,36.0,36.0
2020-11-01,,,40.0,40.0,40.0
2020-11-08,,,43.0,43.0,43.0
2020-11-15,,,31.0,31.0,31.0
2020-11-22,,,23.0,23.0,23.0
2020-11-29,,,36.0,36.0,36.0
2020-12-06,,,32.0,32.0,32.0
2020-12-13,,,30.0,30.0,30.0
2020-12-20,,,23.0,23.0,23.0
2020-12-27,,,33.0,33.0,33.0
2021-01-03,,,,40.0,40.0
2021-01-10,,,,46.0,46.0
2021-01-17,,,,43.0,43.0
2021-01-24,,,,36.0,36.0
2021-01-31,,,,38.0,38.0
2021-02-07,,,,37.0,37.0
2021-02-14,,,,55.0,55.0
2021-02-21,,,,89.0,89.0
2021-02-28,,,,51.0,51.0
2021-03-07,,,,41.0,41.0
2021-03-14,,,,31.0,31.0
2021-03-21,,,,23.0,23.0
2021-03-28,,,,28.0,28.0
2021-04-04,,,,29.0,29.0
2021-04-11,,,,30.0,30.0
2021-04-18,,,,30.0,30.0
2021-04-25,,,,26.0,26.0
2021-05-02,,,,24.0,24.0
2021-05-09,,,,29.0,29.0
2021-05-16,,,,29.0,29.0
2021-05-23,,,,78.0,78.0
2021-05-30,,,,62.0,62.0
2021-06-06,,,,45.0,45.0
2021-06-13,,,,41.0,41.0
2021-06-20,,,,40.0,40.0
2021-06-27,,,,41.0,41.0
2021-07-04,,,,38.0,38.0
2021-07-11,,,,41.0,41.0
2021-07-18,,,,39.0,39.0
2021-07-25,,,,36.0,36.0
2021-08-01,,,,45.0,45.0
2021-08-08,,,,46.0,46.0
2021-08-15,,,,55.0,55.0
2021-08-22,,,,42.0,42.0
2021-08-29,,,,57.0,57.0
2021-09-05,,,,53.0,53.0
2021-09-12,,,,45.0,45.0
2021-09-19,,,,33.0,33.0
2021-09-26,,,,36.0,36.0
2021-10-03,,,,39.0,39.0
2021-10-10,,,,35.0,35.0
2021-10-17,,,,30.0,30.0
2021-10-24,,,,28.0,28.0
2021-10-31,,,,34.0,34.0
2021-11-07,,,,30.0,30.0
2021-11-14,,,,32.0,32.0
2021-11-21,,,,26.0,26.0
2021-11-28,,,,41.0,41.0
2021-12-05,,,,34.0,34.0
2021-12-12,,,,28.0,28.0
2021-12-19,,,,25.0,25.0
2021-12-26,,,,33.0,33.0
2022-01-02,,,,,43.0
2022-01-09,,,,,33.0
2022-01-16,,,,,35.0
2022-01-23,,,,,32.0
2022-01-30,,,,,45.0
2022-02-06,,,,,37.0
2022-02-13,,,,,33.0
2022-02-20,,,,,28.0
2022-02-27,,,,,36.0
2022-03-06,,,,,42.0
2022-03-13,,,,,30.0
2022-03-20,,,,,30.0
2022-03-27,,,,,34.0
2022-04-03,,,,,38.0
2022-04-10,,,,,31.0
2022-04-17,,,,,29.0
2022-04-24,,,,,34.0
2022-05-01,,,,,36.0
2022-05-08,,,,,35.0
2022-05-15,,,,,36.0
2022-05-22,,,,,36.0
2022-05-29,,,,,44.0
2022-06-05,,,,,56.0
2022-06-12,,,,,43.0
2022-06-19,,,,,39.0
2022-06-26,,,,,42.0
2022-07-03,,,,,50.0
2022-07-10,,,,,45.0
2022-07-17,,,,,37.0
2022-07-24,,,,,39.0
2022-07-31,,,,,44.0
2022-08-07,,,,,37.0
2022-08-14,,,,,38.0
2022-08-21,,,,,38.0
2022-08-28,,,,,41.0
2022-09-04,,,,,43.0
2022-09-11,,,,,38.0
2022-09-18,,,,,36.0
2022-09-25,,,,,36.0
2022-10-02,,,,,42.0
2022-10-09,,,,,38.0
2022-10-16,,,,,35.0
2022-10-23,,,,,35.0
2022-10-30,,,,,38.0
2022-11-06,,,,,36.0
2022-11-13,,,,,31.0
2022-11-20,,,,,26.0
2022-11-27,,,,,39.0
2022-12-04,,,,,41.0
2022-12-11,,,,,45.0
2022-12-18,,,,,35.0
2022-12-25,,,,,31.0
2023-01-01,,,,,41.0
