date,2024-02-16
2020-02-02,28
2020-02-09,24
2020-02-16,26
2020-02-23,22
2020-03-01,37
2020-03-08,23
2020-03-15,58
2020-03-22,62
2020-03-29,73
2020-04-05,96
2020-04-12,100
2020-04-19,55
2020-04-26,64
2020-05-03,62
2020-05-10,55
2020-05-17,82
2020-05-24,45
2020-05-31,46
2020-06-07,59
2020-06-14,53
2020-06-21,29
2020-06-28,50
2020-07-05,57
2020-07-12,35
2020-07-19,35
2020-07-26,37
2020-08-02,45
2020-08-09,40
2020-08-16,33
2020-08-23,40
2020-08-30,34
2020-09-06,37
2020-09-13,28
2020-09-20,26
2020-09-27,43
2020-10-04,35
2020-10-11,43
2020-10-18,37
2020-10-25,30
2020-11-01,51
2020-11-08,47
2020-11-15,36
2020-11-22,47
2020-11-29,30
2020-12-06,64
2020-12-13,41
2020-12-20,40
2020-12-27,44
2021-01-03,51
2021-01-10,50
2021-01-17,27
2021-01-24,39
2021-01-31,50
2021-02-07,64
2021-02-14,34
2021-02-21,45
2021-02-28,38
2021-03-07,35
2021-03-14,34
2021-03-21,30
2021-03-28,47
2021-04-04,32
2021-04-11,43
2021-04-18,30
2021-04-25,30
2021-05-02,37
2021-05-09,37
2021-05-16,36
2021-05-23,47
2021-05-30,49
2021-06-06,50
2021-06-13,48
2021-06-20,42
2021-06-27,34
2021-07-04,37
2021-07-11,57
2021-07-18,46
2021-07-25,44
2021-08-01,44
2021-08-08,46
2021-08-15,69
2021-08-22,27
2021-08-29,56
2021-09-05,67
2021-09-12,33
2021-09-19,49
2021-09-26,41
2021-10-03,48
2021-10-10,53
2021-10-17,45
2021-10-24,56
2021-10-31,58
2021-11-07,51
2021-11-14,45
2021-11-21,38
2021-11-28,41
2021-12-05,52
2021-12-12,38
2021-12-19,42
2021-12-26,42
2022-01-02,67
2022-01-09,52
2022-01-16,47
2022-01-23,51
2022-01-30,61
2022-02-06,57
2022-02-13,57
2022-02-20,68
2022-02-27,44
2022-03-06,58
2022-03-13,70
2022-03-20,49
2022-03-27,45
2022-04-03,43
2022-04-10,50
2022-04-17,45
2022-04-24,31
2022-05-01,45
2022-05-08,57
2022-05-15,54
2022-05-22,42
2022-05-29,42
2022-06-05,49
2022-06-12,62
2022-06-19,59
2022-06-26,54
2022-07-03,61
2022-07-10,78
2022-07-17,100
2022-07-24,59
2022-07-31,61
2022-08-07,58
2022-08-14,61
2022-08-21,48
2022-08-28,70
2022-09-04,56
2022-09-11,43
2022-09-18,54
2022-09-25,56
2022-10-02,84
2022-10-09,64
2022-10-16,49
2022-10-23,40
2022-10-30,63
2022-11-06,54
2022-11-13,68
2022-11-20,72
2022-11-27,61
2022-12-04,61
2022-12-11,61
2022-12-18,56
2022-12-25,44
2023-01-01,57
2023-01-08,67
2023-01-15,49
2023-01-22,46
2023-01-29,60
2023-02-05,49
2023-02-12,50
2023-02-19,41
2023-02-26,58
2023-03-05,53
2023-03-12,58
2023-03-19,64
2023-03-26,49
2023-04-02,39
2023-04-09,49
2023-04-16,58
2023-04-23,49
2023-04-30,48
2023-05-07,42
2023-05-14,52
2023-05-21,55
2023-05-28,47
2023-06-04,59
2023-06-11,41
2023-06-18,28
2023-06-25,53
2023-07-02,54
2023-07-09,50
2023-07-16,41
2023-07-23,51
2023-07-30,54
2023-08-06,48
2023-08-13,34
2023-08-20,48
2023-08-27,59
2023-09-03,52
2023-09-10,52
2023-09-17,46
2023-09-24,50
2023-10-01,60
2023-10-08,43
2023-10-15,37
2023-10-22,35
2023-10-29,42
2023-11-05,36
2023-11-12,39
2023-11-19,24
2023-11-26,40
2023-12-03,53
2023-12-10,44
2023-12-17,47
2023-12-24,40
2023-12-31,52
2024-01-07,50
2024-01-14,30
2024-01-21,46
2024-01-28,52
2024-02-04,41
